age,ischild,parch,pclass,sex,sibsp,survived,tarifa,embarked_q,embarked_s
38.0,0,0,1,1,1,1,71.2833,False,False
26.0,0,0,3,1,0,1,7.925,False,True
35.0,0,0,1,1,1,1,53.1,False,True
35.0,0,0,3,0,0,0,8.05,False,True
28.0,0,0,3,0,0,0,8.4583,True,False
2.0,1,1,3,0,3,0,21.075,False,True
27.0,0,2,3,1,0,1,11.1333,False,True
14.0,0,0,2,1,1,1,30.0708,False,False
4.0,1,1,3,1,1,1,16.7,False,True
58.0,0,0,1,1,0,1,26.55,False,True
20.0,0,0,3,0,0,0,8.05,False,True
39.0,0,5,3,0,1,0,31.275,False,True
14.0,0,0,3,1,0,0,7.8542,False,True
55.0,0,0,2,1,0,1,16.0,False,True
2.0,1,1,3,0,4,0,29.125,True,False
28.0,0,0,2,0,0,1,13.0,False,True
31.0,0,0,3,1,1,0,18.0,False,True
28.0,0,0,3,1,0,1,7.225,False,False
35.0,0,0,2,0,0,0,26.0,False,True
34.0,0,0,2,0,0,1,13.0,False,True
15.0,0,0,3,1,0,1,8.0292,True,False
28.0,0,0,1,0,0,1,35.5,False,True
8.0,1,1,3,1,3,0,21.075,False,True
38.0,0,5,3,1,1,1,31.3875,False,True
28.0,0,0,3,0,0,0,7.225,False,False
19.0,0,2,1,0,3,0,263.0,False,True
28.0,0,0,3,1,0,1,7.8792,True,False
28.0,0,0,3,0,0,0,7.8958,False,True
40.0,0,0,1,0,0,0,27.7208,False,False
28.0,0,0,1,1,1,1,146.5208,False,False
28.0,0,0,3,1,0,1,7.75,True,False
66.0,0,0,2,0,0,0,10.5,False,True
28.0,0,0,1,0,1,0,82.1708,False,False
42.0,0,0,1,0,1,0,52.0,False,True
28.0,0,0,3,0,0,1,7.2292,False,False
21.0,0,0,3,0,0,0,8.05,False,True
18.0,0,0,3,1,2,0,18.0,False,True
14.0,0,0,3,1,1,1,11.2417,False,False
40.0,0,0,3,1,1,0,9.475,False,True
27.0,0,0,2,1,1,0,21.0,False,True
28.0,0,0,3,0,0,0,7.8958,False,False
3.0,1,2,2,1,1,1,41.5792,False,False
19.0,0,0,3,1,0,1,7.8792,True,False
28.0,0,0,3,0,0,0,8.05,False,True
28.0,0,0,3,0,1,0,15.5,True,False
28.0,0,0,3,0,2,0,21.6792,False,False
18.0,0,0,3,1,1,0,17.8,False,True
7.0,1,1,3,0,4,0,39.6875,False,True
21.0,0,0,3,0,0,0,7.8,False,True
49.0,0,0,1,1,1,1,76.7292,False,False
29.0,0,0,2,1,1,1,26.0,False,True
65.0,0,1,1,0,0,0,61.9792,False,False
21.0,0,0,2,1,0,1,10.5,False,True
28.5,0,0,3,0,0,0,7.2292,False,False
5.0,1,2,2,1,1,1,27.75,False,True
11.0,1,2,3,0,5,0,46.9,False,True
22.0,0,0,3,0,0,0,7.2292,False,False
38.0,0,0,1,1,0,1,80.0,False,True
45.0,0,0,1,0,1,0,83.475,False,True
4.0,1,2,3,0,3,0,27.9,False,True
28.0,0,0,1,0,0,0,27.7208,False,False
28.0,0,1,3,0,1,1,15.2458,False,False
29.0,0,0,2,1,0,1,10.5,False,True
19.0,0,0,3,0,0,0,8.1583,False,True
17.0,0,2,3,1,4,1,7.925,False,True
26.0,0,0,3,0,2,0,8.6625,False,True
32.0,0,0,2,0,0,0,10.5,False,True
16.0,0,2,3,1,5,0,46.9,False,True
21.0,0,0,2,0,0,0,73.5,False,True
26.0,0,0,3,0,1,0,14.4542,False,False
32.0,0,0,3,0,0,1,56.4958,False,True
25.0,0,0,3,0,0,0,7.65,False,True
0.83,1,2,2,0,0,1,29.0,False,True
30.0,0,0,3,1,0,1,12.475,False,True
22.0,0,0,3,0,0,0,9.0,False,True
29.0,0,0,3,0,0,1,9.5,False,True
28.0,0,0,3,1,0,1,7.7875,True,False
28.0,0,0,1,0,0,0,47.1,False,True
17.0,0,0,2,1,0,1,10.5,False,True
33.0,0,0,3,1,3,1,15.85,False,True
